Wall time,Step,Value
1548734176.736236,1360,0.0
1548734179.698314,1365,0.10000000149011612
1548734182.2480588,1369,0.0
1548734183.817614,1371,0.0
1548734185.3285902,1374,0.0
1548734186.402643,1376,0.0
1548734186.8805509,1377,0.0
1548734194.14505,1385,0.0
1548734200.591331,1391,0.0
1548734201.630093,1393,0.0
1548734211.31202,1402,0.10000000149011612
1548734212.400105,1403,0.10000000149011612
1548734214.077873,1405,0.0
1548734216.793688,1409,0.0
1548734221.28528,1413,0.0
1548734221.765755,1414,0.0
1548734222.767586,1415,0.10000000149011612
1548734225.3227441,1417,0.0
1548734225.831211,1418,0.0
1548734227.493182,1419,0.10000000149011612
1548734227.96849,1420,0.0
1548734229.971989,1423,0.10000000149011612
1548734230.463926,1424,0.0
1548734231.5521522,1426,0.0
1548734233.567918,1430,0.0
1548734237.93315,1435,0.0
1548734238.497043,1436,0.0
1548734241.744928,1440,0.10000000149011612
1548734244.8302422,1444,0.0
1548734245.378567,1445,0.0
1548734246.865108,1447,0.0
1548734247.378241,1448,0.0
1548734254.893151,1459,0.0
1548734258.40974,1461,0.10000000149011612
1548734259.495702,1463,0.0
1548734261.6320388,1465,0.10000000149011612
1548734263.8276632,1468,0.0
1548734265.318455,1471,0.0
1548734266.295542,1472,0.09000000357627869
1548734266.833653,1473,0.0
1548734272.451746,1479,0.10000000149011612
1548734273.569945,1480,0.10000000149011612
1548734274.170314,1481,0.0
1548734274.6830049,1482,0.0
1548734277.4438841,1487,0.0
1548734281.586612,1491,0.0
1548734282.607917,1493,0.0
1548734287.897517,1499,0.10000000149011612
1548734290.055881,1501,0.09000000357627869
1548734292.166377,1505,0.0
1548734294.706603,1508,0.0
1548734297.843682,1512,0.0
1548734298.2656739,1513,0.0
1548734301.571948,1518,0.10000000149011612
1548734302.72513,1519,0.0
1548734304.974109,1521,0.10000000149011612
1548734306.0178492,1523,0.0
1548734310.830595,1529,0.0
1548734312.3109188,1531,0.10000000149011612
1548734312.877702,1532,0.0
1548734313.902092,1533,0.0
1548734318.073181,1538,0.0
1548734320.674227,1542,0.0
1548734322.4323258,1544,0.10000000149011612
1548734322.922379,1545,0.0
1548734323.4274611,1546,0.0
1548734324.380679,1548,0.0
1548734325.356334,1550,0.0
1548734325.863957,1551,0.0
1548734327.974711,1555,0.0
1548734329.945051,1559,0.0
1548734331.9960792,1562,0.0
1548734332.951767,1563,0.10000000149011612
1548734338.151175,1571,0.0
1548734341.34669,1575,0.0
1548734341.8490582,1576,0.0
1548734343.52209,1578,0.0
1548734344.00366,1579,0.0
1548734346.415243,1582,0.0
1548734348.0524101,1585,0.0
1548734348.6266692,1586,0.0
1548734349.173548,1587,0.0
1548734355.6597881,1596,0.09000000357627869
1548734357.16305,1598,0.0
1548734358.196481,1600,0.0
1548734359.223743,1602,0.0
1548734360.181185,1603,0.10000000149011612
1548734360.737216,1604,0.0
1548734362.13961,1605,0.09000000357627869
1548734363.727509,1607,0.0
1548734364.875712,1609,0.0
1548734369.503708,1613,0.09000000357627869
1548734370.541122,1615,0.0
1548734371.0073779,1616,0.0
1548734372.022811,1617,0.10000000149011612
1548734373.033812,1618,0.09000000357627869
1548734374.1289432,1620,0.0
1548734374.611768,1621,0.0
1548734375.734786,1622,0.0
1548734376.1617868,1623,0.0
1548734376.7087512,1624,0.0
1548734377.7639759,1626,0.0
1548734378.82046,1627,0.10000000149011612
1548734381.650218,1629,0.0
1548734383.2836459,1632,0.0
1548734383.791138,1633,0.0
1548734384.873675,1635,0.0
1548734387.720942,1638,0.10000000149011612
1548734388.296971,1639,0.0
1548734390.715883,1642,0.0
1548734391.266581,1643,0.0
1548734391.9447339,1644,0.0
1548734392.935488,1646,0.0
1548734397.316565,1648,0.0
1548734398.365338,1649,0.10000000149011612
1548734401.482479,1653,0.09000000357627869
1548734406.124933,1657,0.0
1548734406.6907918,1658,0.0
1548734409.2621949,1663,0.0
1548734409.732022,1664,0.0
1548734414.118627,1670,0.0
1548734415.1191192,1672,0.0
1548734415.620306,1673,0.0
1548734418.6385012,1676,0.10000000149011612
1548734419.61534,1677,0.10000000149011612
1548734424.026975,1680,0.20000000298023224
1548734427.143105,1685,0.0
1548734428.015129,1687,0.0
1548734428.961379,1689,0.0
1548734429.877275,1690,0.0
1548734433.379468,1694,0.10000000149011612
1548734438.143339,1701,0.0
1548734442.950921,1708,0.10000000149011612
1548734451.1457129,1719,0.10000000149011612
1548734452.2140312,1720,0.09000000357627869
1548734452.670367,1721,0.0
1548734453.110883,1722,0.0
1548734454.1799219,1723,0.10000000149011612
1548734460.558272,1733,0.0
1548734462.038284,1736,0.0
1548734463.005704,1737,0.09000000357627869
1548734464.592362,1738,0.10000000149011612
1548734465.087208,1739,0.0
1548734466.012893,1740,0.10000000149011612
1548734466.8823712,1741,0.10000000149011612
1548734467.3655272,1742,0.0
1548734467.806628,1743,0.0
1548734468.341084,1744,0.0
1548734468.7749581,1745,0.0
1548734471.0632782,1748,0.10000000149011612
1548734472.597412,1750,0.0
1548734473.184004,1751,0.0
1548734477.616935,1758,0.0
1548734479.516926,1761,0.0
1548734480.4533498,1762,0.09000000357627869
1548734480.8930418,1763,0.0
1548734481.3498292,1764,0.0
1548734482.3277,1766,0.0
1548734483.6958568,1768,0.0
1548734484.155606,1769,0.0
1548734487.2316601,1773,0.0
1548734487.8399858,1774,0.0
1548734489.0981278,1775,0.10000000149011612
1548734490.715858,1776,0.10000000149011612
1548734492.0718038,1779,0.0
1548734492.997466,1781,0.0
1548734494.169332,1783,0.0
1548734494.673287,1784,0.0
1548734495.669842,1786,0.0
1548734496.651084,1788,0.0
1548734497.407149,1789,0.0
1548734498.580361,1791,0.0
1548734500.601542,1793,0.10000000149011612
1548734502.269443,1795,0.10000000149011612
1548734502.800213,1796,0.0
1548734504.873117,1800,0.0
1548734506.325589,1802,0.0
1548734507.414722,1804,0.0
1548734513.6428149,1810,0.0
1548734515.327775,1812,0.09000000357627869
1548734516.1911411,1813,0.09000000357627869
1548734517.1314518,1815,0.0
1548734518.609299,1817,0.10000000149011612
1548734519.682145,1818,0.10000000149011612
1548734521.583491,1821,0.0
1548734522.44787,1823,0.0
1548734522.892392,1824,0.0
1548734523.402484,1825,0.0
1548734524.699471,1827,0.0
1548734530.590336,1838,0.0
1548734533.0185778,1842,0.0
1548734535.63073,1846,0.0
1548734536.1565151,1847,0.0
1548734536.656202,1848,0.0
1548734539.0748951,1851,0.0
1548734540.482653,1853,0.09000000357627869
1548734547.94166,1861,0.0
1548734548.885042,1862,0.10000000149011612
1548734549.3185139,1863,0.0
1548734550.612714,1866,0.0
1548734551.127914,1867,0.0
1548734552.387726,1870,0.0
1548734553.8454962,1872,0.0
1548734556.709883,1876,0.09000000357627869
1548734557.599694,1877,0.09000000357627869
1548734561.749056,1884,0.0
1548734563.3825002,1886,0.09000000357627869
1548734564.322794,1888,0.0
1548734566.402935,1890,0.10000000149011612
1548734566.947986,1891,0.0
1548734567.4393091,1892,0.0
1548734571.297902,1896,0.10000000149011612
1548734574.910857,1901,0.0
1548734575.344715,1902,0.0
1548734576.312382,1904,0.0
1548734577.7414699,1906,0.09000000357627869
1548734578.303377,1907,0.0
1548734580.630786,1909,0.10000000149011612
1548734582.554817,1911,0.0
1548734583.718606,1912,0.10000000149011612
1548734586.1938372,1915,0.0
1548734589.535035,1918,0.0
1548734592.6490471,1921,0.0
1548734593.196228,1922,0.0
1548734596.337219,1926,0.0
1548734599.405159,1929,0.10000000149011612
1548734606.1745238,1934,0.0
1548734607.472534,1936,0.0
1548734609.296167,1938,0.10000000149011612
1548734611.175443,1941,0.0
1548734613.122915,1942,0.10000000149011612
1548734614.403716,1943,0.10000000149011612
1548734614.973037,1944,0.0
1548734615.516195,1945,0.0
1548734621.631648,1951,0.0
1548734626.7045062,1956,0.0
1548734629.705665,1959,0.0
1548734633.412273,1963,0.0
1548734636.45737,1965,0.10000000149011612
1548734644.991838,1972,0.0
1548734651.093174,1978,0.0
1548734654.001257,1981,0.0
1548734654.987416,1983,0.0
1548734659.0779362,1987,0.10000000149011612
1548734660.261137,1989,0.0
1548734665.811195,1994,0.10000000149011612
1548734667.085835,1995,0.10000000149011612
1548734667.632287,1996,0.0
1548734676.712547,2004,0.0
1548734679.21708,2006,0.10000000149011612
1548734681.071224,2008,0.0
1548734682.2396631,2009,0.10000000149011612
1548734683.4161868,2011,0.0
1548734685.3379571,2012,0.10000000149011612
1548734695.9164228,2017,0.0
1548734697.0696929,2018,0.10000000149011612
1548734697.684779,2019,0.0
1548734705.086816,2026,0.0
1548734712.834393,2035,0.10000000149011612
1548734716.209889,2038,0.10000000149011612
1548734718.005095,2041,0.0
1548734719.832978,2042,0.10000000149011612
1548734733.8519092,2050,0.20000000298023224
1548734736.339206,2052,0.10000000149011612
1548734745.113012,2055,0.0
1548734747.116843,2056,0.10000000149011612
1548734750.245064,2058,0.10000000149011612
1548734754.710649,2063,0.0
1548734761.3032162,2068,0.1899999976158142
1548734766.5299342,2072,0.10000000149011612
1548734771.1458838,2075,0.0
1548734773.150698,2077,0.10000000149011612
1548734776.913285,2080,0.10000000149011612
1548734779.3878489,2083,0.10000000149011612
1548734786.4464262,2087,0.10000000149011612
1548734789.850145,2091,0.10000000149011612
1548734791.758604,2093,0.10000000149011612
1548734792.748946,2094,0.10000000149011612
1548734793.98575,2095,0.10000000149011612
1548734795.4627268,2096,0.10000000149011612
1548734807.01317,2106,0.10000000149011612
1548734810.7790349,2109,0.0
1548734811.215155,2110,0.0
1548734814.525125,2112,0.10000000149011612
1548734814.985918,2113,0.0
1548734819.079469,2117,0.20000000298023224
1548734825.110764,2124,0.10000000149011612
1548734826.5194938,2126,0.10000000149011612
1548734829.0672379,2129,0.0
1548734832.7119029,2132,0.10000000149011612
1548734833.163472,2133,0.0
1548734835.73516,2136,0.0
1548734838.515397,2139,0.0
1548734841.490287,2142,0.0
1548734843.951029,2145,0.0
1548734846.361983,2147,0.10000000149011612
1548734847.3147871,2148,0.10000000149011612
1548734847.7732549,2149,0.0
1548734850.480853,2151,0.10000000149011612
1548734858.3841379,2159,0.10000000149011612
1548734859.419948,2160,0.10000000149011612
1548734860.392521,2161,0.10000000149011612
1548734861.678144,2162,0.10000000149011612
1548734867.472048,2167,0.10000000149011612
1548734868.775118,2168,0.10000000149011612
1548734871.3150132,2169,0.10000000149011612
1548734874.519397,2171,0.10000000149011612
1548734876.966012,2173,0.10000000149011612
1548734878.0976589,2174,0.10000000149011612
